"","CA.102548","CA.104338","CA.105094","CA.109745","CA.1906415","CA.1912627","CA.1924346","CA.1926760","CA.1927842","CA.1933414","CA.1940640","CA.2004407","CA.2005288","CA.2006047","CA.2008260","CA.2009329","CA.2009381","CA.2009850","CA.2017611","CA.2039179","CA.2040686","CA.2045012","CA.2046297","CA.348981","CA.354300","CA.359448","CA.94377","CA.98389","CA.98475","CA.99145","CAP.102548","CAP.104338","CAP.105094","CAP.109745","CAP.1906415","CAP.1912627","CAP.1924346","CAP.1926760","CAP.1927842","CAP.1933414","CAP.1940640","CAP.2004407","CAP.2005288","CAP.2006047","CAP.2008260","CAP.2009329","CAP.2009381","CAP.2009850","CAP.2017611","CAP.2039179","CAP.2040686","CAP.2046297","CAP.2046641","CAP.348981","CAP.354300","CAP.359448","CAP.94377","CAP.98389","CAP.98475","CAP.99145"
"TSPAN6",0.93,1.97,0,5.45,4.52,4.75,3.96,3.58,6.41,11.89,5.55,3.82,7.66,11.48,4.32,14.44,10.26,6.51,5.86,7.13,9.19,6.65,10.13,7.07,4.76,2.1,4.77,5.04,8.78,2.34,11.66,3.4,13.38,14.95,6.7,0,10.45,7.1,5.21,5.61,6.2,6.79,11.24,15.73,12.05,11.64,10.16,9.13,6.87,8.71,6.66,8.35,8.94,6.33,5.94,6.35,3.74,4.84,10.46,4.54
"TNMD",0,0,0,0,0,0,0,0.23,0.39,0.44,0.36,0.09,0.07,1.14,0,0.5,0.21,0.2,0.1,0.18,0.2,0,0,0,0.49,0,0.27,0.6,0,1.16,5.79,1.76,0.24,1.81,0.35,0,0,0.2,11.43,0.26,3.2,0.06,0.08,0,0,0.59,0.63,0.49,0,0.23,0.12,0.17,1.08,0.29,0,0.07,9.19,1.18,0.09,0.39
"DPM1",0,0.43,0,3.43,8.45,8.53,7.8,7.62,6.4,6.09,6.62,5.51,9.62,6.77,13.13,9.71,9.01,7.71,18.03,8.32,5.96,9.21,8.6,2.89,6.51,2.72,15.23,6.79,3.84,5.98,0,8.87,10.64,9.18,6.6,0,7.85,4.19,0.44,9.96,0,4.33,4.13,0,0.75,5.72,3.64,6.13,19.28,3.01,4.93,7.47,5.72,4.96,9.28,9.15,4.77,3.75,7.31,2.77
"SCYL3",5.78,5.17,8.76,4.58,7.2,6.03,9.05,5.37,5.92,12.45,10.44,8.81,9.04,9.36,5.91,4.58,8.1,13.55,3.66,4.39,7.46,9.98,15.58,8.54,4.42,4.82,5.76,8.15,10.72,6.48,7.68,1.26,7.3,8.49,3.6,8.71,4.24,6.07,5.47,4.3,4.9,4.07,7.45,0.23,5.05,5.28,5.9,7.97,2.59,6.57,8.02,6,5.28,4.98,4.45,7,4.14,5.51,7.45,2.33
"C1orf112",2.83,6.26,3.37,6.24,5.16,13.69,6.69,5.28,7.65,13.71,13.97,7.3,16.13,14.37,10.71,9.87,8.51,16.54,10.59,5.37,8.59,13.38,15.07,8.33,5.01,5.98,8.66,13.07,16.81,4.83,23.32,3.11,7,10.36,5.37,5.43,3.9,6.29,14.61,3.81,15.07,3.89,4.58,0.39,14.69,6.95,8.67,10.39,19.2,5.42,7.91,4.61,8.35,9.84,7.68,5.62,2.81,7.08,7.28,5.39
"FGR",4.8,1.83,0,4.23,15.87,8.56,13.28,12.27,5.58,7.03,5.04,12.83,9.56,7.57,9.77,15.4,11.62,8.9,1.87,8.93,9.04,8.44,5.54,15.79,6.42,11.93,8.07,3.5,1.78,16.58,7.76,30.17,4.78,4.31,8.24,0,6.62,5.24,2.76,7.56,2.19,9.92,8.48,0,11.08,14.92,4.35,7.21,1.87,4.48,6.99,6.16,13.27,19.33,2.89,40.13,10.53,9,4.45,11.42
"CFH",1.37,1.78,0,2.59,9.21,8.22,15.64,4.06,5.52,8.67,7.12,10.55,11.03,9.05,14.16,14.96,14.94,6.33,6.99,4.46,8.37,9.96,18.67,11.96,6.93,2.87,6.34,9.26,3.73,5.86,1.79,26.42,29.31,17.56,6.69,2.73,10.55,9.94,11.67,27.33,3.1,18.37,7.5,91.76,23.17,35.34,10.86,9.95,37.48,5.6,9.07,28.2,14.57,14.89,15.49,31.55,21.43,5.72,25.26,3.71
"FUCA2",21.92,10.48,0,23.78,14.95,7.11,14.03,19.77,18.31,11.55,17.55,16.79,31.4,26.49,33.54,19.9,14.37,18.36,14.66,12.1,14.98,18.19,11.68,25.39,14.11,17.14,24.26,9.31,7.66,14.69,10.79,6.21,10.25,11.56,7.54,0.16,10.48,16.63,5.42,14.34,3.73,15.94,14.59,37.54,2.74,12.74,14.39,15.3,13.75,14.88,13.4,10.57,22.14,31.01,6.84,11.9,2.75,7.73,10.34,9.61
"GCLC",34.16,25.12,21.77,16.48,18.19,20.94,13.76,25.24,21.19,20.24,16.35,11.39,20.68,20.38,16.71,27.71,25.89,15.53,14.05,16.37,11.77,24.05,17.7,16.04,12.81,20.34,30.84,13.88,15.21,22.27,25.78,52.99,30.95,24.97,16.41,0.43,20.99,15.83,18.31,24.84,21.51,19.46,18.04,180.59,20.81,19.68,21.17,26.41,14.39,22.17,18.29,29.94,17.3,18.24,21.21,22.4,39.71,25.57,26.17,16.96
"NFYA",0.7,1.13,0,10.72,17.5,13,9.9,20.28,19.21,24.1,47.84,5.99,17.02,40.62,22.06,28.65,26.14,23.05,25.41,17.8,10.46,46.39,28.25,17.69,8.31,7.64,25.34,38.83,14.14,9.2,1.84,8.63,13.3,14.35,8.25,0,8.6,14.59,3.72,12.04,4.56,5.69,6.21,18.2,5.32,12.55,17.46,18.19,13.22,13.14,11.18,9.79,15.31,16.6,18.17,19.34,11.55,21.27,6.27,7.62
"STPG1",11.84,6.95,19.07,5.53,4.43,4.72,3.79,4.26,3.56,5.23,5.26,3.87,3.21,4.29,4.39,3.96,4.85,5.1,6.99,3.24,4.6,6.27,4.78,5.89,2.25,4.22,5.72,10.78,8.49,3.71,29.33,2.47,5.17,7.71,7.43,19.36,6.48,4.09,16.78,5.45,10.27,3.56,3.35,25.12,15.91,3.5,3.3,3.43,15.14,3.42,3.41,4.59,3.96,4.03,2.64,3.82,6.05,6.63,5.91,4.09
"NIPAL3",9.46,8.74,0,12.15,5.79,11.46,9.88,41.16,23.71,31.62,26.36,10.77,11.5,13.76,16.86,9.86,16.39,17.5,13.78,25.39,15.27,14.35,12.15,15.43,9.56,28.14,20.74,27.82,10.08,18.73,15.22,8.95,12.06,20.86,10.54,0.23,12.19,23.84,8.57,10.16,13.42,9.54,13.3,10.73,16.16,15.31,21.33,12.86,26.68,25.26,17.23,10.45,8.41,11.07,14.43,11.95,3.54,20.24,13.47,7.26
"LAS1L",3.75,4.82,0,13.74,14.2,13.83,15.49,16.29,19.48,23.73,12.84,12.17,23.59,22.01,14.92,14.26,13.13,22.59,19.01,15.73,15.01,23.65,15.5,14.8,15.89,12.23,11.01,18.41,22.81,16.5,3.94,7.3,16.41,17.36,19.64,35.86,15.34,17.42,10.19,14.9,4.57,14.57,12.55,7.07,4.23,16.49,17.09,16.9,8.29,14.99,15.04,15.97,14.14,18.72,13.96,25.32,4.72,18.62,21.66,12.74
"ENPP4",0.03,0.13,0,0.32,0.61,0.48,0.38,0.6,0.94,2.85,2.85,0.37,1.25,1.56,1.67,3.09,1.32,0.95,1.04,0.94,1.54,1.19,2.92,1.21,0.11,0.41,2.23,1.93,3.81,0.68,1.29,1.78,1.69,1.56,0.87,9.74,0.55,0.68,2.46,0.99,3.6,0.73,0.7,0,1.34,1.2,1.34,1.33,3.25,0.54,0.87,1.26,0.99,1.26,1.32,1.12,3.24,1.08,0.85,0.21
"SEMA3F",8.53,19.91,39.41,19.85,21.86,16.57,16.52,15.42,8.36,8.99,12.49,48.34,15.97,15.26,22.51,24.23,13.96,36.82,16.04,23.51,9.11,30.01,28.2,41.97,43.8,27.02,10.15,15.31,11.42,9.53,14.22,32.79,48.36,23.74,28.61,0,42.16,26.71,4.34,28.4,4.23,39.54,26.09,0.08,13.28,12.5,32.21,43.69,6.9,23.34,13.28,32.2,17.41,49.7,7.91,24.71,12.34,38.49,22.07,22.46
"CFTR",14.1,8.44,0,2.66,0,3.5,0.48,1.33,2.21,1.97,3.54,6.8,4.6,3.62,1.49,5.85,8.72,4.92,4.52,5.05,5.68,0.05,2.53,1.46,4.02,4.46,1.35,3.1,8.21,6.16,11.73,0,0.51,0.04,7.65,11.45,0,1.55,13.23,1.66,12.23,2.73,0.66,0,17.69,3.17,5.92,3.03,14.12,0.52,1.53,0.36,7.09,2.85,2.33,3.73,0,13.43,3.61,9.41
"ANKIB1",2,3.05,0,21.57,20.46,19.11,15.19,17.44,17.51,22.15,38.96,17.48,25.95,32.01,35.97,28.01,22.27,37.74,19.32,13.15,12.77,28.82,30.11,29.61,73.99,10.47,23.19,34.87,40.66,11.02,3.09,31.41,34.99,32.79,14.17,0,16.12,14.52,10.8,27.91,7.98,10.55,12.35,75.71,6.29,23.97,15.94,16.67,1.82,13.31,14.02,24.28,24.68,22.28,30.81,26.72,15.18,26.43,27.4,8.51
"CYP51A1",69.01,35.53,63.61,38.72,15.86,9.47,19.25,20.49,16.94,9.43,19.96,20.27,11.45,13.92,19.99,9.2,15.09,24.89,17.32,15.23,15.48,15.73,16.12,14.25,38.78,28.35,20.02,17.48,14.33,11.76,137.63,9.52,25.18,18.28,20.41,44.01,20.51,11.18,51.6,15.36,54.51,15.6,23.16,34.84,80.43,14.05,13.57,15.81,35.11,13.44,14.06,18.74,14.45,10.94,41.37,13.93,12.95,12.88,20,10.52
"KRIT1",64.26,41.94,30.9,30.55,43.56,20.89,11.98,23.02,29.39,20.78,35.23,27.23,22.91,30.11,30.59,20.15,19.83,33.46,24.68,24.32,18.13,27.92,23,21.72,42.24,33.09,18.46,28.85,39.08,41.89,14.53,56.61,28.26,29.27,29.02,0,20.44,25.35,12.19,21.93,5.08,23.09,20.81,113.84,9.2,28.79,24.79,23.51,61.02,24.92,36.72,27.17,20.17,35.95,60.2,20.02,42.41,22.45,23.81,27.34
"RAD52",2.83,5.86,0,14.58,4.31,16.34,12.81,9.24,14.42,12.03,7.87,10.98,12.58,15.88,21.61,16.09,17.5,16.88,16.62,17.37,9.32,18.37,17.7,13.25,9.9,16.69,11.35,36.39,33.26,22.37,16.56,23.71,12,22.28,7.02,0,11.11,18.88,6.11,12.03,6.76,12.94,9.67,0.1,7.61,17.86,19.45,21.08,6.77,15.1,11.37,14.87,12.42,12.65,22.99,20.27,16.57,21.65,12.79,10.37
